Freq,V_i,V_o
100,2.72,2.48
200,2.76,2.48
300,2.76,2.48
400,2.76,2.48
600,2.76,2.52
800,2.76,2.52
1000,2.76,2.56
1200,2.76,2.56
1400,2.76,2.64
1600,2.76,2.68
1800,2.76,2.68
2000,2.76,2.72
2200,2.76,2.76
2400,2.76,2.68
2600,2.80,2.68
2800,2.76,2.58
3000,2.80,2.52
3200,2.76,2.48
3500,2.76,2.52
3700,2.76,2.68
4000,2.76,2.00
4100,2.76,0.40
4200,2.76,0.20
4500,2.76,0.06
4900,2.76,0.06
5000,2.76,0.05
5100,2.76,0.05
5500,2.76,0.05
5800,2.76,0.40
5900,2.76,0.50
6000,2.76,1.92
6100,2.80,2.44
6500,2.76,2.68
7000,2.76,2.52
8000,2.76,2.72
9000,2.76,4.58
